time(us), stanley, env, control
975814, 85.000000, 85.000000, 24.625000
3855814, 85.000000, 85.000000, 24.625000
6725814, 85.000000, 85.000000, 24.625000
9595814, 85.000000, 85.000000, 24.625000
12465814, 24.875000, 24.500000, 24.625000
15345814, 24.875000, 24.500000, 24.625000
18225814, 85.000000, 85.000000, 85.000000
21095814, 24.937500, 24.500000, 24.625000
23975814, 24.875000, 24.500000, 24.625000
26855814, 24.875000, 24.500000, 24.625000
29735814, 85.000000, 85.000000, 85.000000
32605814, 24.937500, 24.500000, 24.625000
35485814, 85.000000, 85.000000, 24.500000
38355814, 24.812500, 24.500000, 24.312500
41235814, 24.750000, 24.500000, 23.125000
44115814, 85.000000, 85.000000, 85.000000
46985814, 85.000000, 85.000000, 19.062500
49855814, 24.312500, 24.500000, 17.312500
52735814, 24.000000, 24.500000, 15.750000
55615814, 23.687500, 24.500000, 14.437500
58495814, 23.312500, 24.500000, 13.250000
61375814, 22.937500, 24.500000, 12.312500
64255814, 22.562500, 24.500000, 11.500000
67135814, 22.125000, 24.437500, 10.812500
70015814, 21.687500, 24.500000, 10.187500
72895814, 21.187500, 24.437500, 9.562500
75775814, 20.687500, 24.437500, 9.062500
78655814, 20.187500, 24.437500, 8.562500
81535814, 19.687500, 24.437500, 8.062500
84415814, 19.187500, 24.437500, 7.562500
87295814, 18.750000, 24.437500, 7.187500
90175814, 18.250000, 24.375000, 6.750000
93045814, 17.687500, 24.375000, 6.375000
95925814, 17.187500, 24.375000, 6.000000
98795814, 16.750000, 24.312500, 5.625000
101675814, 16.250000, 24.312500, 5.312500
104555814, 15.750000, 24.312500, 5.000000
107435814, 15.250000, 24.312500, 4.687500
110315814, 85.000000, 85.000000, 4.375000
113185814, 14.312500, 24.250000, 4.125000
116065814, 14.062500, 24.250000, 4.812500
118945814, 14.562500, 24.187500, 7.437500
121825814, 14.750000, 24.187500, 9.375000
124705814, 14.750000, 24.187500, 10.687500
127585814, 14.562500, 24.187500, 11.687500
130465814, 85.000000, 85.000000, 12.250000
133335814, 13.500000, 24.125000, 12.562500
136215814, 12.812500, 24.125000, 12.562500
139095814, 11.937500, 24.125000, 12.375000
141975814, 11.062500, 24.125000, 12.000000
144855814, 10.500000, 24.187500, 11.562500
147735814, 10.000000, 24.187500, 11.125000
150615814, 9.625000, 24.187500, 10.687500
153495814, 9.312500, 24.187500, 10.250000
156375814, 9.062500, 24.187500, 9.812500
159245814, 8.750000, 24.187500, 9.437500
162115814, 8.562500, 24.187500, 9.062500
164985814, 8.375000, 24.187500, 8.750000
167855814, 8.187500, 24.187500, 8.375000
170725814, 7.937500, 24.187500, 8.125000
173595814, 7.750000, 24.187500, 7.812500
176465814, 7.625000, 24.187500, 7.625000
179335814, 7.437500, 24.187500, 7.375000
182205814, 7.250000, 24.187500, 7.187500
185075814, 7.125000, 24.187500, 7.000000
187945814, 7.000000, 24.187500, 6.812500
190815814, 6.812500, 24.187500, 6.687500
193685814, 6.687500, 24.187500, 6.500000
196555814, 6.562500, 24.125000, 6.375000
199425814, 6.500000, 24.125000, 6.250000
202295814, 6.375000, 24.125000, 6.125000
205165814, 6.250000, 24.062500, 6.062500
208035814, 6.187500, 24.062500, 5.937500
210905814, 6.125000, 24.062500, 5.875000
213775814, 6.062500, 24.000000, 5.812500
