time	stanley	env	control	diff_stanley	diff_control
0:01:21	23,2656	24,4844	16,8	1,21875	7,68437
0:02:24	15,0938	24,2594	8,18437	9,16562	16,075
0:03:22	7,84687	24,1781	8,06875	16,3313	16,1094
0:04:19	5,65937	23,9656	5,48125	18,3062	18,4844
0:05:17	4,85	23,7875	5,03125	18,9375	18,7563
0:06:14	4,40625	23,6719	4,75312	19,2656	18,9187
0:07:11	4,04063	23,55	4,34687	19,5094	19,2031
0:08:09	3,50312	23,4937	3,99375	19,9906	19,5
0:09:06	2,93438	23,4531	3,74063	20,5188	19,7125
0:10:04	2,4625	23,3969	3,59063	20,9344	19,8063
0:11:01	2,075	23,3687	3,5125	21,2937	19,8562
0:11:58	1,78438	23,25	3,46563	21,4656	19,7844
0:12:56	1,04688	23,1875	3,4375	22,1406	19,75
0:13:53	0,934375	23,0969	3,43125	22,1625	19,6656
0:14:51	0,88125	23,075	3,43438	22,1937	19,6406
0:15:48	0,86875	22,9875	3,4625	22,1188	19,525
0:16:45	0,865625	22,9094	3,52188	22,0437	19,3875
0:17:43	0,865625	22,8031	3,57187	21,9375	19,2313
0:18:40	0,85625	22,7375	3,65	21,8813	19,0875
0:19:38	0,846875	22,6562	3,71875	21,8094	18,9375
0:20:35	0,834375	22,65	3,79375	21,8156	18,8562
0:21:33	0,84375	22,5562	3,89375	21,7125	18,6625
0:22:30	0,828125	22,4875	3,9875	21,6594	18,5
0:23:28	0,821875	22,4062	4,15313	21,5844	18,2531
0:24:25	0,815625	22,4187	4,38125	21,6031	18,0375
0:25:23	0,825	22,3781	4,64062	21,5531	17,7375
0:26:20	0,821875	22,3687	4,84375	21,5469	17,525
0:27:18	0,821875	22,275	4,98438	21,4531	17,2906
0:28:15	0,825	22,1781	5,09063	21,3531	17,0875
0:29:13	0,821875	22,1125	5,1625	21,2906	16,95
0:30:10	0,8125	22,0469	5,1875	21,2344	16,8594
0:31:08	0,825	22,0063	5,1875	21,1813	16,8188
0:32:05	0,815625	22	5,1875	21,1844	16,8125
0:33:03	0,815625	21,95	5,1875	21,1344	16,7625
0:34:01	0,8125	21,9875	5,19375	21,175	16,7938
0:34:58	0,815625	21,9469	5,27813	21,1312	16,6687
0:35:55	0,8125	21,8125	5,40937	21	16,4031
0:36:53	0,815625	21,7781	5,38438	20,9625	16,3937
0:37:50	0,8125	21,8406	5,29063	21,0281	16,55
0:38:48	0,81875	21,8	5,24688	20,9812	16,5531
0:39:45	0,815625	21,6812	5,21875	20,8656	16,4625
0:40:43	0,8125	21,6406	5,20625	20,8281	16,4344
0:41:40	0,8125	21,7437	5,2125	20,9312	16,5312
0:42:38	0,8125	21,7719	5,25	20,9594	16,5219
0:43:35	0,8125	21,6344	5,27187	20,8219	16,3625
0:44:33	0,81875	21,5562	5,3125	20,7375	16,2437
0:45:30	0,81875	21,6	5,31562	20,7812	16,2844
0:46:28	0,8125	21,6531	5,3125	20,8406	16,3406
0:47:25	0,8125	21,65	5,29688	20,8375	16,3531
0:48:23	0,815625	21,5656	5,31562	20,75	16,25
0:49:20	0,8125	21,5156	5,42188	20,7031	16,0938
0:50:18	0,8125	21,4875	5,29688	20,675	16,1906
0:51:15	0,8125	21,4375	5,04063	20,625	16,3969
0:52:13	0,815625	21,4094	5	20,5938	16,4094
0:53:10	0,815625	21,4219	5,0625	20,6062	16,3594
0:54:08	0,815625	21,5	5,14062	20,6844	16,3594
0:55:05	0,81875	21,4312	5,24062	20,6125	16,1906
0:56:03	0,81875	21,3344	5,33437	20,5156	16
0:57:00	0,81875	21,3188	5,40313	20,5	15,9156
0:57:58	0,81875	21,2969	5,39687	20,4781	15,9
0:58:55	0,821875	21,3062	5,37188	20,4844	15,9344
0:59:53	0,8125	21,2719	5,40313	20,4594	15,8688
1:00:50	0,81875	21,1562	5,5	20,3375	15,6562
1:01:48	0,815625	21,1281	5,45937	20,3125	15,6688
1:02:45	0,825	21,125	5,33125	20,3	15,7937
1:03:43	0,834375	21,125	5,19062	20,2906	15,9344
1:04:40	0,821875	21,1875	5,19062	20,3656	15,9969
1:05:38	0,821875	21,1562	5,24688	20,3344	15,9094
1:06:35	0,825	21,1156	5,25	20,2906	15,8656
1:07:33	0,834375	21,0625	5,29063	20,2281	15,7719
1:08:30	0,834375	21,1062	5,49062	20,2719	15,6156
